step	c_max	c_max_minus_1
45779	1.000048259617038	4.8259617038e-05
47431	1.0008564753289597	8.564753289597e-04
47202	1.0008456110385895	8.456110e-04
47328	1.0008575260589854	8.575261e-04
47438	1.0008560484232927	8.560484e-04
47550	1.000843068564581	8.430686e-04
47663	1.0008204543844925	8.204544e-04
47770	1.0007932584950712	7.932585e-04
47877	1.0007626400816445	7.626401e-04
47939	1.0007439119378474	7.439119e-04
48023	1.0008205385112703	8.205385e-04
48085	1.0007426167760132	7.426168e-04
48154	1.0006838199026926	6.838199e-04
48191	1.0006569339803593	6.569340e-04
48883	1.0000655155549323	6.551555e-05
49570	1.000000279641801	2.796418e-07
50485	1.000002659309781	2.659310e-06
51730	1.0000025785158071	2.578516e-06
52946	1.000004655095543	4.655096e-06
54143	1.0000062247149037	6.224715e-06
55143	1.0000057804676745	5.780468e-06
56490	1.0000054790696704	5.479070e-06
57261	1.0000052894342875	5.289434e-06
58217	1.0000051827595076	5.182760e-06
59146	1.0000051116267623	5.111627e-06
60342	1.0000050307974722	5.030797e-06
61434	1.0000049619061113	4.961906e-06
62585	1.0000048820901679	4.882090e-06
63894	1.0000049581007695	4.958101e-06
65211	1.0000052225014824	5.222501e-06
66438	1.0000055206759892	5.520676e-06
67518	1.0000054694081844	5.469408e-06
68558	1.0000056661236361	5.666124e-06
69791	1.0000058208439813	5.820844e-06
70952	1.0000059364804201	5.936480e-06
72223	1.0000060150017207	6.015002e-06
73234	1.0000060948148448	6.094815e-06
74476	1.0000061959342950	6.195934e-06
75306	1.0000064369375083	6.436938e-06
76290	1.0000065226845110	6.522685e-06
77152	1.0000062875551565	6.287555e-06
78198	1.0000063702387583	6.370239e-06
79282	1.0000064764771393	6.476477e-06
80559	1.0000065064536376	6.506454e-06
81616	1.0000065950089896	6.595009e-06
82767	1.0000067028460489	6.702846e-06
84076	1.0000065652171002	6.565217e-06
84893	1.0000259107523779	2.591075e-05
85257	1.0000028412819151	2.841282e-06
