step	worst_resid	dt	ratio
50485	7.448e-04	5.0e-03	0.149
51730	7.447514e-04	5.860495e-03	0.1271
52946	7.447514e-04	5.626104e-03	0.1324
54143	7.447514e-04	5.884592e-03	0.1266
55143	7.447514e-04	6.098087e-03	0.1221
56490	7.447514e-04	6.150004e-03	0.1211
57261	7.447514e-04	7.792490e-03	0.0956
58217	7.447514e-04	9.801982e-03	0.0760
59146	7.447514e-04	7.795587e-03	0.0955
60342	7.447514e-04	5.835932e-03	0.1276
61434	7.447514e-04	5.491987e-03	0.1356
62585	7.447514e-04	5.735530e-03	0.1298
63894	7.447514e-04	6.082858e-03	0.1224
65211	7.447514e-04	5.935759e-03	0.1255
66438	7.447514e-04	7.752959e-03	0.0961
67518	7.447514e-04	1.133012e-02	0.0657
68558	7.447514e-04	6.414712e-03	0.1161
69791	7.447514e-04	5.510947e-03	0.1351
70952	7.447514e-04	5.725937e-03	0.1301
72223	7.447514e-04	5.429760e-03	0.1372
73234	7.447514e-04	5.912932e-03	0.1260
74476	7.447514e-04	7.032381e-03	0.1059
75306	7.447514e-04	7.969279e-03	0.0935
76290	7.447514e-04	1.128058e-02	0.0660
77152	7.447514e-04	7.032837e-03	0.1059
78198	7.447514e-04	5.863455e-03	0.1270
79282	7.447514e-04	5.507105e-03	0.1352
80559	7.447514e-04	5.347829e-03	0.1393
81616	7.447514e-04	6.132140e-03	0.1215
82767	7.447514e-04	5.581305e-03	0.1334
84076	7.447514e-04	8.551664e-03	0.0871
84893	7.447514e-04	6.145810e-02	0.0121
85257	7.447514e-04	2.580921e-01	0.0029
